Species,Species_info
Angelshark,"<a href=""https://en.wikipedia.org/wiki/Angelshark"" target=""_blank"" target=""_blank"">https://en.wikipedia.org/wiki/Angelshark</a>"
Banjo Shark,"<a href=""https://en.wikipedia.org/wiki/Banjo_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Banjo_shark</a>"
Basking Shark,"<a href=""https://en.wikipedia.org/wiki/Basking_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Basking_shark</a>"
Blacktip Reef Shark,"<a href=""https://en.wikipedia.org/wiki/Blacktip_reef_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Blacktip_reef_shark</a>"
Blue Shark,"<a href=""https://en.wikipedia.org/wiki/Blue_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Blue_shark</a>"
Broadnose Sevengill Shark,"<a href=""https://en.wikipedia.org/wiki/Broadnose_sevengill_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Broadnose_sevengill_shark</a>"
Bull Shark,"<a href=""https://en.wikipedia.org/wiki/Bull_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Bull_shark</a>"
Caribbean Reef Shark,"<a href=""https://en.wikipedia.org/wiki/Caribbean_reef_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Caribbean_reef_shark</a>"
Carpet Shark,"<a href=""https://en.wikipedia.org/wiki/Carpet_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Carpet_shark</a>"
Catshark,"<a href=""https://en.wikipedia.org/wiki/Catshark"" target=""_blank"">https://en.wikipedia.org/wiki/Catshark</a>"
Cookiecutter Shark,"<a href=""https://en.wikipedia.org/wiki/Cookiecutter_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Cookiecutter_shark</a>"
Copper Shark,"<a href=""https://en.wikipedia.org/wiki/Copper_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Copper_shark</a>"
Cow Shark,"<a href=""https://en.wikipedia.org/wiki/Cow_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Cow_shark</a>"
Dogfish Shark,"<a href=""https://en.wikipedia.org/wiki/Squalidae"" target=""_blank"">https://en.wikipedia.org/wiki/Squalidae</a>"
Dusky Shark,"<a href=""https://en.wikipedia.org/wiki/Dusky_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Dusky_shark</a>"
Galapagos Shark,"<a href=""https://en.wikipedia.org/wiki/Galapagos_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Galapagos_shark</a>"
Goblin Shark,"<a href=""https://en.wikipedia.org/wiki/Goblin_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Goblin_shark</a>"
Great White Shark,"<a href=""https://en.wikipedia.org/wiki/Great_white_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Great_white_shark</a>"
Grey Reef Shark,"<a href=""https://en.wikipedia.org/wiki/Grey_reef_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Grey_reef_shark</a>"
Gummy Shark,"<a href=""https://en.wikipedia.org/wiki/Gummy_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Gummy_shark</a>"
Hammerhead Shark,"<a href=""https://en.wikipedia.org/wiki/Hammerhead_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Hammerhead_shark</a>"
Horn Shark,"<a href=""https://en.wikipedia.org/wiki/Horn_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Horn_shark</a>"
Lemon Shark,"<a href=""https://en.wikipedia.org/wiki/Lemon_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Lemon_shark</a>"
Leopard Shark,"<a href=""https://en.wikipedia.org/wiki/Leopard_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Leopard_shark</a>"
Longfin Mako Shark,"<a href=""https://en.wikipedia.org/wiki/Longfin_mako_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Longfin_mako_shark</a>"
Nurse Shark,"<a href=""https://en.wikipedia.org/wiki/Nurse_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Nurse_shark</a>"
Oceanic Whitetip Shark,"<a href=""https://en.wikipedia.org/wiki/Oceanic_whitetip_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Oceanic_whitetip_shark</a>"
Porbeagle Shark,"<a href=""https://en.wikipedia.org/wiki/Porbeagle"" target=""_blank"">https://en.wikipedia.org/wiki/Porbeagle</a>"
Port Jackson Shark,"<a href=""https://en.wikipedia.org/wiki/Port_Jackson_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Port_Jackson_shark</a>"
Ragged Tooth Shark,"<a href=""https://en.wikipedia.org/wiki/Sand_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Sand_shark</a>"
Salmon Shark,"<a href=""https://en.wikipedia.org/wiki/Salmon_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Salmon_shark</a>"
Sand Tiger Shark,"<a href=""https://en.wikipedia.org/wiki/Sand_tiger_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Sand_tiger_shark</a>"
Sandbar Shark,"<a href=""https://en.wikipedia.org/wiki/Sandbar_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Sandbar_shark</a>"
Scalloped Hammerhead Shark,"<a href=""https://en.wikipedia.org/wiki/Scalloped_hammerhead"" target=""_blank"">https://en.wikipedia.org/wiki/Scalloped_hammerhead</a>"
School Shark,"<a href=""https://en.wikipedia.org/wiki/School_shark"" target=""_blank"">https://en.wikipedia.org/wiki/School_shark</a>"
Shortfin Mako Shark,"<a href=""https://en.wikipedia.org/wiki/Shortfin_mako_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Shortfin_mako_shark</a>"
Shovelnose Guitarfish,"<a href=""https://en.wikipedia.org/wiki/Shovelnose_guitarfish"" target=""_blank"">https://en.wikipedia.org/wiki/Shovelnose_guitarfish</a>"
Silky Shark,"<a href=""https://en.wikipedia.org/wiki/Silky_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Silky_shark</a>"
Silvertip Shark,"<a href=""https://en.wikipedia.org/wiki/Silvertip_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Silvertip_shark</a>"
Smooth-hound Shark,"<a href=""https://en.wikipedia.org/wiki/Smooth-hound"" target=""_blank"">https://en.wikipedia.org/wiki/Smooth-hound</a>"
Spinner Shark,"<a href=""https://en.wikipedia.org/wiki/Spinner_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Spinner_shark</a>"
Spurdog Shark,"<a href=""https://en.wikipedia.org/wiki/Spurdog"" target=""_blank"">https://en.wikipedia.org/wiki/Spurdog</a>"
Tawny Nurse Shark,"<a href=""https://en.wikipedia.org/wiki/Tawny_nurse_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Tawny_nurse_shark</a>"
Thresher Shark,"<a href=""https://en.wikipedia.org/wiki/Thresher_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Thresher_shark</a>"
Tiger Shark,"<a href=""https://en.wikipedia.org/wiki/Tiger_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Tiger_shark</a>"
Whale Shark,"<a href=""https://en.wikipedia.org/wiki/Whale_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Whale_shark</a>"
Whaler Shark,"<a href=""https://en.wikipedia.org/wiki/Carcharhiniformes"" target=""_blank"">https://en.wikipedia.org/wiki/Carcharhiniformes</a>"
Whitetip Reef Shark,"<a href=""https://en.wikipedia.org/wiki/Whitetip_reef_shark"" target=""_blank"">https://en.wikipedia.org/wiki/Whitetip_reef_shark</a>"
Wobbegong Shark,"<a href=""https://en.wikipedia.org/wiki/Wobbegong"" target=""_blank"">https://en.wikipedia.org/wiki/Wobbegong</a>"
